"","phy_order","transplantjul.std.trend","SE","df","lower.CL","upper.CL"
"1","STTO",0.0354659954840712,0.116507440495676,792,-0.193233890466068,0.264165881434211
"2","STDI",0.364135483308108,0.0412232396221835,792,0.283215756980084,0.445055209636133
"3","STPO",0.39266051963464,0.057650798547527,792,0.279494090120267,0.505826949149013
"4","STDR",0.248799067692642,0.0439828928098231,792,0.162462242108209,0.335135893277074
"5","STBR",0.31274130435712,0.0505075852842144,792,0.213596743761048,0.411885864953193
"6","STIN",0.638579304931082,0.0219390111760407,792,0.595513820594005,0.681644789268158
"7","STGL",0.381148179814144,0.0574313765471641,792,0.268412467739313,0.493883891888975
"8","CAAN",0.3937039169935,0.0379172810895664,792,0.319273667527629,0.468134166459371
"9","CACO",0.432705190755228,0.0393623831641361,792,0.355438258256632,0.509972123253825
"10","CAIN",0.447240834958565,0.050428808259806,792,0.348250910808208,0.546230759108921
